2025-06-30 18:53:00,234 | INFO     | nexus_trading.main   | Starting DEMO mode for symbol: RELIANCE
2025-06-30 18:53:00,873 | INFO     | database.enhanced_database_manager | Database connection pool initialized
2025-06-30 18:53:00,873 | INFO     | nexus_trading.main   | Loading fundamental data for RELIANCE...
2025-06-30 18:53:00,879 | INFO     | nexus_trading.main   | Loading historical data for RELIANCE...
2025-06-30 18:53:00,889 | INFO     | nexus_trading.main   | Found 3 historical records
2025-06-30 18:53:00,891 | INFO     | nexus_trading.main   | Date range: 2025-06-30 18:09:50.322704 to 2025-06-30 18:52:48.440620
2025-06-30 18:53:00,891 | INFO     | nexus_trading.main   | Testing data pipeline...
2025-06-30 18:53:00,894 | INFO     | database.enhanced_database_manager | Created/verified table: historical_data_3m_2025_q2
2025-06-30 18:53:00,906 | INFO     | utils.data_updater   | Successfully updated sample data for RELIANCE
2025-06-30 18:53:00,907 | INFO     | nexus_trading.main   | Data pipeline test: {'total_symbols': 1, 'successful_updates': 1, 'failed_updates': 0, 'errors': []}
2025-06-30 18:53:00,907 | INFO     | nexus_trading.main   | Testing technical analysis...
2025-06-30 18:53:01,113 | WARNING  | agents.technical_agent | pandas_ta not available, using manual calculations
2025-06-30 18:53:01,116 | WARNING  | agents.technical_agent | Insufficient data for RELIANCE: 4 records
2025-06-30 18:53:01,116 | WARNING  | nexus_trading.main   | Technical analysis error: insufficient_data
2025-06-30 18:53:01,116 | INFO     | nexus_trading.main   | Demo completed successfully for RELIANCE
2025-06-30 18:53:01,116 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STOPPING
2025-06-30 18:53:01,116 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 18:53:51,438 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 18:53:51,439 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STARTING
2025-06-30 18:53:51,439 | INFO     | nexus_trading.main   | Mode: integration
2025-06-30 18:53:51,439 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 18:53:51,439 | INFO     | nexus_trading.main   | Starting INTEGRATION mode...
2025-06-30 18:53:51,439 | INFO     | nexus_trading.main   | Integration Phase: Environment Check
2025-06-30 18:53:51,962 | INFO     | nexus_trading.main   | pandas: 2.3.0
2025-06-30 18:53:51,962 | INFO     | nexus_trading.main   | numpy: 2.3.1
2025-06-30 18:53:52,164 | WARNING  | nexus_trading.main   | pandas_ta not available - will use fallback calculations
2025-06-30 18:53:52,165 | INFO     | nexus_trading.main   | Phase Environment Check: PASSED
2025-06-30 18:53:52,165 | INFO     | nexus_trading.main   | Integration Phase: Database Integration
2025-06-30 18:53:52,281 | INFO     | database.enhanced_database_manager | Database connection pool initialized
2025-06-30 18:53:52,293 | INFO     | nexus_trading.main   | Database connection successful
2025-06-30 18:53:52,293 | INFO     | nexus_trading.main   | System health: {'total_symbols': 12, 'available_quarters': 1}
2025-06-30 18:53:52,293 | INFO     | nexus_trading.main   | Phase Database Integration: PASSED
2025-06-30 18:53:52,293 | INFO     | nexus_trading.main   | Integration Phase: Schema Creation
